gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
CG17715,chr2L:22736904-22747273,warm,cold,OK,25.7633,17.2037,-0.5826,-1.87238,5.00E-05,0.000245228,yes
lt,chr2L:22811943-22835033,warm,cold,OK,34.2642,27.3321,-0.326105,-1.35053,0.0023,0.00817624,yes
cta,chr2L:22874547-22885683,warm,cold,OK,6.68988,14.7269,1.1384,4.12169,5.00E-05,0.000245228,yes
CR43242,chr2L:22961736-22963456,warm,cold,OK,3.90199,1.37825,-1.50137,-2.9247,5.00E-05,0.000245228,yes
l(2)gl,chr2L:7469-21376,warm,cold,OK,25.1711,43.8706,0.801487,3.04448,5.00E-05,0.000245228,yes
Ir21a,chr2L:21822-25155,warm,cold,NOTEST,0.693444,0.818348,0.238936,0,1,1,no
Cda5,chr2L:25369-65404,warm,cold,OK,13.0648,81.4474,2.64018,7.13977,5.00E-05,0.000245228,yes
net,chr2L:82420-87387,warm,cold,OK,8.89131,4.07501,-1.12559,-3.01941,5.00E-05,0.000245228,yes
Nhe1,chr2L:102349-106861,warm,cold,OK,26.8852,24.5445,-0.131413,-0.478405,0.28945,0.455081,no
"CG13694,CG4822",chr2L:106902-157759,warm,cold,OK,53.866,23.8122,-1.17768,-0.955739,0.03535,0.0857805,no
CG3164,chr2L:106902-157759,warm,cold,OK,310.188,226.164,-0.455772,-1.06381,0.01645,0.0452499,yes
"CG31974,CG31975,CG31976,CG3709,CG42399",chr2L:106902-157759,warm,cold,OK,81.5855,35.0142,-1.22037,-0.887166,0.0563,0.12678,no
CG33635,chr2L:157835-158664,warm,cold,OK,8.65682,15.7157,0.860299,2.98687,5.00E-05,0.000245228,yes
CG11617,chr2L:203715-250891,warm,cold,OK,14.5929,11.572,-0.334635,-0.191775,0.6566,0.793235,no
kis,chr2L:203715-250891,warm,cold,OK,30.9053,42.2222,0.450149,1.38261,0.0022,0.00787284,yes
snoRNA:kis-a,chr2L:203715-250891,warm,cold,NOTEST,0,0,0,0,1,1,no
mir-965,chr2L:203715-250891,warm,cold,NOTEST,0,0,0,0,1,1,no
Rpp30,chr2L:251038-252373,warm,cold,OK,4.1414,3.12409,-0.40668,-0.776784,0.075,0.160569,no
CG3645,chr2L:252588-271744,warm,cold,OK,6.22076,4.38641,-0.504051,-0.369716,0.4508,0.621612,no
CG17075,chr2L:252588-271744,warm,cold,OK,1.50011,4.58277,1.61115,1.51097,0.00595,0.0187494,yes
mbm,chr2L:271911-273715,warm,cold,OK,4.97945,4.26799,-0.222429,-0.649823,0.1895,0.330806,no
"CG11601,CG17078",chr2L:273832-283319,warm,cold,OK,48.8622,40.0328,-0.287536,-0.893957,0.05695,0.127902,no
CG3625,chr2L:283374-291751,warm,cold,OK,86.2564,70.5475,-0.290037,-1.4158,0.00835,0.0251586,yes
CG11592,chr2L:283374-291751,warm,cold,OK,2.66547,2.10083,-0.343432,-0.266905,0.5536,0.713816,no
U2af38,chr2L:292418-294681,warm,cold,OK,14.2776,13.8047,-0.0485914,-0.0716932,0.86795,0.929747,no
CR43719,chr2L:305934-347941,warm,cold,OK,4.80681,3.55361,-0.435795,-0.0939347,0.89805,0.946665,no
CG11912,chr2L:305934-347941,warm,cold,OK,17.6824,5.62679,-1.65193,-0.570917,0.33915,0.510409,no
CG11911,chr2L:305934-347941,warm,cold,OK,107.657,2.45457,-5.45483,-1.42069,0.11,0.219147,no
CG43755,chr2L:305934-347941,warm,cold,OK,342.041,332.218,-0.0420404,-0.12259,0.79945,0.888667,no
CG31921,chr2L:305934-347941,warm,cold,OK,95.382,110.348,0.210266,0.341099,0.43125,0.603168,no
Ent1,chr2L:355564-357874,warm,cold,OK,35.6988,45.7452,0.357743,1.52752,0.0009,0.003546,yes
CG4213,chr2L:396594-402198,warm,cold,OK,35.5608,48.8746,0.458795,1.93493,5.00E-05,0.000245228,yes
alpha-Adaptin,chr2L:408029-414777,warm,cold,OK,24.7822,25.203,0.0242913,0.100712,0.81865,0.899799,no
ebi,chr2L:415066-419652,warm,cold,OK,1.36243,0.966482,-0.495372,-0.182816,0.7519,0.859273,no
CG13690,chr2L:415066-419652,warm,cold,NOTEST,0.342424,0.162578,-1.07465,0,1,1,no
CG11885,chr2L:419927-421654,warm,cold,OK,32.8822,44.9361,0.450566,0.421745,0.32865,0.499247,no
crq,chr2L:431175-453043,warm,cold,OK,41.9238,46.1103,0.137321,0.402779,0.3683,0.540582,no
CG4297,chr2L:458875-542670,warm,cold,OK,15.7469,16.7186,0.0863894,0.137395,0.78,0.877472,no
cbt,chr2L:458875-542670,warm,cold,OK,59.5542,20.5644,-1.53406,-3.68591,5.00E-05,0.000245228,yes
lwr,chr2L:458875-542670,warm,cold,OK,25.5274,18.8127,-0.440341,-0.514292,0.2514,0.410378,no
Spp,chr2L:542785-544653,warm,cold,OK,57.1644,48.6967,-0.231291,-1.13161,0.0307,0.0765234,no
Ets21C,chr2L:545128-552475,warm,cold,OK,2.83761,6.11226,1.10703,1.32333,0.00305,0.0104708,yes
"CG11835,rempA",chr2L:553452-563602,warm,cold,OK,9.81283,5.25666,-0.900522,-1.39768,0.0031,0.0106209,yes
Nle,chr2L:564162-568130,warm,cold,OK,5.2932,6.35728,0.264269,0.345958,0.44425,0.615521,no
Ipk2,chr2L:568327-576973,warm,cold,OK,5.50026,9.16264,0.736264,1.08494,0.04825,0.111346,no
Ptth,chr2L:568327-576973,warm,cold,OK,2.29373,2.71514,0.243328,0.165351,0.70135,0.823888,no
Gsc,chr2L:583539-594810,warm,cold,NOTEST,0.135557,0.112591,-0.267806,0,1,1,no
CR43649,chr2L:608339-609134,warm,cold,NOTEST,0.878446,1.38264,0.654398,0,1,1,no
lectin-21Cb,chr2L:620297-621258,warm,cold,OK,5.60005,1.47115,-1.9285,-2.87847,5.00E-05,0.000245228,yes
ds,chr2L:640020-714968,warm,cold,OK,1.30452,5.51162,2.07896,7.62211,5.00E-05,0.000245228,yes
Eaat2,chr2L:737202-744395,warm,cold,OK,44.4915,31.7624,-0.48621,-2.10831,5.00E-05,0.000245228,yes
Pkg21D,chr2L:784273-790811,warm,cold,OK,7.77521,5.01172,-0.633575,-1.04239,0.02615,0.0671941,no
Saf6,chr2L:811583-815950,warm,cold,OK,2.30731,2.75598,0.256354,0.520408,0.25025,0.409009,no
CG15880,chr2L:815992-819549,warm,cold,OK,2.63689,2.0683,-0.350396,-0.439941,0.39035,0.563019,no
CG3876,chr2L:815992-819549,warm,cold,OK,6.5633,6.53737,-0.00571318,-0.0125461,0.97855,0.98754,no
Clp,chr2L:819961-825894,warm,cold,NOTEST,0.473755,0.299493,-0.66162,0,1,1,no
Clp,chr2L:819961-825894,warm,cold,NOTEST,0.208561,0.567764,1.44482,0,1,1,no
CG3862,chr2L:819961-825894,warm,cold,OK,4.59615,6.05001,0.396512,0.228347,0.6067,0.755578,no
drongo,chr2L:833541-851172,warm,cold,OK,22.6505,28.5142,0.332138,0.613128,0.1836,0.32318,no
CG4291,chr2L:851250-852730,warm,cold,OK,6.50394,5.88941,-0.143192,-0.362575,0.41045,0.583396,no
aru,chr2L:860123-868354,warm,cold,OK,16.1141,17.7778,0.141749,0.522054,0.2474,0.405754,no
snoRNA:Me28S-U1230,chr2L:860123-868354,warm,cold,NOTEST,6.28449,12.0642,0.94087,0,1,1,no
dbe,chr2L:868672-869857,warm,cold,OK,8.47559,8.81573,0.0567668,0.186371,0.72735,0.841938,no
CG15824,chr2L:877164-885189,warm,cold,OK,16.1458,16.4234,0.0245948,0.100208,0.82015,0.901113,no
snRNA:U1:95Cb,chr2L:901490-901654,warm,cold,NOTEST,0,0,0,0,1,1,no
CR44061,chr2L:912945-913265,warm,cold,NOTEST,2.17271,0.679096,-1.67781,0,1,1,no
IA-2,chr2L:1008365-1048053,warm,cold,OK,41.7582,36.1333,-0.208732,-0.695267,0.1241,0.240509,no
CG4375,chr2L:1008365-1048053,warm,cold,OK,214.614,252.166,0.232629,0.588751,0.32355,0.493466,no
S,chr2L:1049744-1077819,warm,cold,OK,7.28582,8.54015,0.22917,0.860471,0.0511,0.116828,no
CG4629,chr2L:1080910-1102506,warm,cold,OK,8.43017,3.66655,-1.20114,-2.3582,5.00E-05,0.000245228,yes
mtRNApol,chr2L:1103253-1108373,warm,cold,OK,10.9111,8.04929,-0.438868,-1.68746,0.0002,0.0008941,yes
Pino,chr2L:1114653-1128953,warm,cold,OK,168.468,87.6025,-0.943429,-4.0148,5.00E-05,0.000245228,yes
Iris,chr2L:1129172-1134134,warm,cold,OK,31.2681,1.23856,-4.65796,-4.57339,5.00E-05,0.000245228,yes
"Tfb4,capt",chr2L:1147821-1158313,warm,cold,OK,30.6908,33.1511,0.111251,0.402563,0.3949,0.567573,no
CR43767,chr2L:1158575-1163886,warm,cold,OK,0.650333,2.9186,2.16602,1.00281,0.1556,0.286122,no
CG5080,chr2L:1158575-1163886,warm,cold,OK,18.325,26.8541,0.551328,1.98042,5.00E-05,0.000245228,yes
"CG5118,Plap",chr2L:1164442-1172823,warm,cold,OK,36.8942,31.6693,-0.22031,-0.881686,0.06415,0.141333,no
CG5126,chr2L:1173008-1185698,warm,cold,OK,4.76771,10.8613,1.18783,1.16994,0.0432,0.101314,no
CG5139,chr2L:1198464-1199204,warm,cold,OK,105.67,123.02,0.219325,1.2296,0.0461,0.107159,no
CR43263,chr2L:1216853-1217785,warm,cold,OK,6.18304,4.70758,-0.39333,-0.982813,0.0804,0.170127,no
CG33923,chr2L:1341364-1342095,warm,cold,NOTEST,0.142688,0.393658,1.46408,0,1,1,no
CG33922,chr2L:1343442-1344171,warm,cold,NOTEST,0,0.0645199,inf,0,1,1,no
"CG31924,CG5556,CG5561,CG5565",chr2L:1351514-1355937,warm,cold,OK,272.373,270.569,-0.00958309,-0.0448581,0.92925,0.963134,no
"CG31659,NLaz",chr2L:1358920-1361732,warm,cold,OK,257.659,323.523,0.328403,1.6114,0.0017,0.00625981,yes
lea,chr2L:1380085-1420449,warm,cold,OK,2.57744,4.83592,0.907853,3.23772,5.00E-05,0.000245228,yes
CG18131,chr2L:1497242-1500608,warm,cold,OK,49.0208,44.6499,-0.134738,-0.539859,0.21455,0.363634,no
CG7420,chr2L:1500829-1504204,warm,cold,OK,5.25883,4.75175,-0.146282,-0.245816,0.5736,0.729737,no
CG18132,chr2L:1516794-1517478,warm,cold,OK,43.6959,57.0812,0.385518,1.89711,0.00175,0.00642791,yes
halo,chr2L:1517531-1518184,warm,cold,NOTEST,0.450085,0.587881,0.385325,0,1,1,no
CG44072,chr2L:1520033-1520387,warm,cold,NOTEST,0,0.511509,inf,0,1,1,no
CG10869,chr2L:1555128-1611157,warm,cold,OK,196.557,194.861,-0.0125008,-0.0537781,0.91595,0.956713,no
CG31935,chr2L:1555128-1611157,warm,cold,OK,12.454,12.0739,-0.0447067,-0.0505259,0.90665,0.952458,no
RFeSP,chr2L:1611409-1614160,warm,cold,OK,120.582,147.266,0.288405,1.21221,0.00925,0.0273954,yes
CG17660,chr2L:1707131-1710421,warm,cold,OK,24.0073,20.7739,-0.208707,-0.921091,0.06195,0.137486,no
frtz,chr2L:1710461-1715851,warm,cold,OK,3.51357,4.87971,0.473859,1.32536,0.00405,0.0134924,yes
CG18317,chr2L:1716221-1724388,warm,cold,OK,63.6771,35.6362,-0.837431,-3.52638,5.00E-05,0.000245228,yes
Eno,chr2L:1724694-1729636,warm,cold,OK,181.669,203.611,0.164499,0.309205,0.52105,0.684769,no
CG17652,chr2L:1729706-1732393,warm,cold,OK,8.47435,6.07194,-0.480945,-0.517988,0.2097,0.357361,no
CG17712,chr2L:1732523-1752122,warm,cold,OK,7.19909,10.0926,0.487407,0.403659,0.3267,0.496924,no
Gr22f,chr2L:1755252-1756451,warm,cold,OK,1.89445,2.13704,0.173833,0.349539,0.5257,0.689118,no
CG17650,chr2L:1758285-1759093,warm,cold,OK,17.6801,19.1033,0.111694,0.444133,0.52905,0.691592,no
Gr22d,chr2L:1789140-1790361,warm,cold,NOTEST,0,0.0961805,inf,0,1,1,no
Gr22c,chr2L:1790616-1791823,warm,cold,NOTEST,0.593336,0.66555,0.1657,0,1,1,no
Gr22b,chr2L:1792056-1793268,warm,cold,NOTEST,0.0624274,0.0225888,-1.46657,0,1,1,no
Gr22a,chr2L:1793667-1794917,warm,cold,NOTEST,0.0607801,0.0226508,-1.42404,0,1,1,no
CG31933,chr2L:1821255-1823331,warm,cold,OK,11.0141,10.5296,-0.0648999,-0.249864,0.61915,0.765758,no
CG31664,chr2L:1824171-1826500,warm,cold,OK,3.55201,0.868698,-2.03171,-3.67401,5.00E-05,0.000245228,yes
c-cup,chr2L:1831626-1832565,warm,cold,OK,98.8818,136.911,0.469464,0.319166,0.34105,0.512486,no
CR44073,chr2L:1836534-1881480,warm,cold,OK,9.58807,14.6711,0.613663,0.553316,0.52505,0.688342,no
CR44074,chr2L:1836534-1881480,warm,cold,NOTEST,0.26556,0.385654,0.53827,0,1,1,no
CG31663,chr2L:1836534-1881480,warm,cold,OK,20.7076,14.318,-0.532332,-1.37861,0.00445,0.0146638,yes
CG15358,chr2L:1882200-1884059,warm,cold,OK,4.92083,2.11934,-1.21528,-2.84516,5.00E-05,0.000245228,yes
CG15357,chr2L:1945149-1945709,warm,cold,OK,17.8382,22.0253,0.304189,0.743434,0.0929,0.191336,no
CG33673,chr2L:1945814-1946728,warm,cold,OK,3.82232,1.49859,-1.35085,-2.69066,0.00015,0.000684556,yes
erm,chr2L:1950238-1970362,warm,cold,NOTEST,0.644292,0.464412,-0.472309,0,1,1,no
CG15356,chr2L:1973930-1980755,warm,cold,OK,2.26674,1.68739,-0.425828,-0.546763,0.23025,0.38489,no
Got2,chr2L:1982216-1987788,warm,cold,OK,116.701,182.897,0.648223,2.46681,5.00E-05,0.000245228,yes
Obp22a,chr2L:1991504-1992160,warm,cold,OK,87.7991,51.0496,-0.782308,-2.36818,5.00E-05,0.000245228,yes
CG33543,chr2L:1997101-2006313,warm,cold,OK,6.25704,5.66104,-0.144413,-0.411287,0.3535,0.525581,no
CG15353,chr2L:2006762-2007193,warm,cold,OK,11.6893,3.28849,-1.82969,-4.79548,0.0003,0.00129843,yes
CG42296,chr2L:2032518-2036041,warm,cold,NOTEST,0.881629,0.440324,-1.00161,0,1,1,no
lectin-22C,chr2L:2036408-2037265,warm,cold,NOTEST,0.957871,0.158198,-2.5981,0,1,1,no
dpr3,chr2L:2058789-2109878,warm,cold,OK,6.10057,7.34695,0.268202,0.650344,0.1665,0.301291,no
CG4259,chr2L:2127344-2129237,warm,cold,OK,4.60877,12.3114,1.41754,3.30466,5.00E-05,0.000245228,yes
tho2,chr2L:2130807-2145187,warm,cold,OK,9.01085,10.5749,0.230913,0.165786,0.6857,0.813262,no
CG11723,chr2L:2145296-2178787,warm,cold,OK,6.84021,9.39541,0.457914,0.47258,0.35945,0.531619,no
aop,chr2L:2145296-2178787,warm,cold,OK,8.65207,20.3066,1.23083,2.18693,5.00E-05,0.000245228,yes
CR44066,chr2L:2186974-2187970,warm,cold,NOTEST,0.748363,0.60724,-0.301471,0,1,1,no
CG10874,chr2L:2189912-2192386,warm,cold,OK,12.6249,15.7374,0.317925,0.936142,0.03475,0.0846025,no
CG34172,chr2L:2192524-2197912,warm,cold,OK,917.87,2245.96,1.29097,5.54648,5.00E-05,0.000245228,yes
CG31668,chr2L:2203720-2206166,warm,cold,NOTEST,0.106394,0.0742378,-0.519192,0,1,1,no
CG33124,chr2L:2206524-2209102,warm,cold,NOTEST,0.103774,0.0698616,-0.570875,0,1,1,no
CG15385,chr2L:2209573-2212571,warm,cold,OK,10.4186,4.8451,-1.10456,-3.5653,5.00E-05,0.000245228,yes
Uch,chr2L:2212737-2214211,warm,cold,OK,150.817,175.243,0.21656,0.931071,0.0358,0.0867301,no
CG10880,chr2L:2214265-2216311,warm,cold,OK,3.48022,4.01228,0.205241,0.398644,0.3566,0.528462,no
CG42371,chr2L:2216502-2217246,warm,cold,OK,60.7326,83.1307,0.452909,2.3987,0.00015,0.000684556,yes
CG15387,chr2L:2220727-2240638,warm,cold,OK,13.4685,9.9893,-0.431138,-0.27375,0.66395,0.799234,no
"Tengl1,Tengl2,Tengl3,gho",chr2L:2220727-2240638,warm,cold,OK,147.506,176.773,0.261129,0.684506,0.16445,0.298495,no
Ser12,chr2L:2250430-2251275,warm,cold,OK,0.034877,3.00346,6.4282,1.20865,0.02795,0.0709099,no
CG17239,chr2L:2251509-2252341,warm,cold,OK,0,1.62019,inf,#NAME?,0.0063,0.019674,yes
Send1,chr2L:2254175-2255050,warm,cold,OK,0.0570916,2.09628,5.19841,1.64443,0.0627,0.138915,no
CG34049,chr2L:2263397-2265404,warm,cold,OK,25.8704,26.0431,0.00960259,0.0201709,0.9609,0.978449,no
CG17242,chr2L:2268225-2269119,warm,cold,OK,189.022,62.5389,-1.59572,-6.4762,5.00E-05,0.000245228,yes
CR43753,chr2L:2271318-2279714,warm,cold,OK,6.77749,7.31841,0.110778,0.241677,0.58375,0.737723,no
CG43099,chr2L:2280533-2280818,warm,cold,NOTEST,0,0,0,0,1,1,no
CR43754,chr2L:2283784-2285003,warm,cold,OK,25.3633,18.5789,-0.449081,-1.35938,0.0018,0.00658292,yes
CG31681,chr2L:2285130-2286873,warm,cold,NOTEST,0.051545,0.93247,4.17715,0,1,1,no
CG42658,chr2L:2287024-2287933,warm,cold,OK,8.39906,10.3328,0.298937,0.962912,0.1058,0.212535,no
CG17237,chr2L:2288502-2289416,warm,cold,OK,86.2433,93.8126,0.121369,0.642473,0.2579,0.418676,no
robl22E,chr2L:2290223-2290738,warm,cold,OK,42.516,39.5103,-0.105777,-0.311985,0.49,0.658234,no
CG9967,chr2L:2307947-2365273,warm,cold,OK,2.33547,2.5759,0.141366,0.0746838,0.88355,0.937904,no
Rab5,chr2L:2307947-2365273,warm,cold,OK,105.946,136.69,0.367581,1.2623,0.00315,0.0107766,yes
"CG3597,CG3609",chr2L:2365344-2375697,warm,cold,OK,167.235,132.224,-0.338898,-1.49659,0.00885,0.0264159,yes
CG3557,chr2L:2383201-2385873,warm,cold,OK,41.2848,40.3508,-0.0330115,-0.120605,0.79345,0.885245,no
CG43750,chr2L:2389577-2390689,warm,cold,OK,21.9408,33.333,0.603331,2.52061,5.00E-05,0.000245228,yes
"CG18641,CG31948,CG34448",chr2L:2391659-2417965,warm,cold,OK,393.625,466.811,0.246019,1.11653,0.0347,0.0845504,no
CG34447,chr2L:2418421-2420013,warm,cold,OK,13.0092,4.45654,-1.54554,-4.08989,5.00E-05,0.000245228,yes
"CG15393,Slh",chr2L:2488196-2492671,warm,cold,OK,19.7092,14.9433,-0.399369,-1.499,0.0006,0.00244552,yes
CG3528,chr2L:2517101-2518037,warm,cold,OK,27.1627,32.1382,0.242666,1.05776,0.0607,0.135016,no
CR44112,chr2L:2532998-2533569,warm,cold,OK,8.72368,8.2438,-0.0816275,-0.252535,0.71755,0.83561,no
CG3515,chr2L:2551144-2552825,warm,cold,OK,6.21693,3.71377,-0.743318,-2.17579,5.00E-05,0.000245228,yes
"Cyp309a1,Cyp309a2",chr2L:2562482-2573111,warm,cold,OK,24.047,20.3968,-0.237514,-0.940793,0.05675,0.127526,no
Rad1,chr2L:2573435-2575052,warm,cold,NOTEST,1.24412,0.808596,-0.621637,0,1,1,no
insv,chr2L:2575279-2576997,warm,cold,OK,4.1408,5.27754,0.349954,1.02064,0.0423,0.0995988,no
"CG3214,Drp1",chr2L:2577686-2585465,warm,cold,OK,425.385,474.158,0.156597,0.773554,0.22535,0.378465,no
CG9962,chr2L:2646576-2647720,warm,cold,OK,4.09925,2.99454,-0.453026,-1.13821,0.04205,0.0991484,no
CG33125,chr2L:2647883-2652375,warm,cold,OK,38.0645,40.6162,0.0936083,0.355366,0.4169,0.590009,no
CG15398,chr2L:2674824-2719431,warm,cold,NOTEST,0.271279,0.574326,1.08209,0,1,1,no
"CG9961,Pgk",chr2L:2739985-2758085,warm,cold,OK,216.029,269.705,0.32016,1.09491,0.03475,0.0846025,no
CG9960,chr2L:2758426-2759677,warm,cold,OK,7.39223,3.9353,-0.909537,-2.64377,5.00E-05,0.000245228,yes
CG3077,chr2L:2759824-2765703,warm,cold,OK,8.0664,10.588,0.392438,0.971938,0.03275,0.0806301,no
Taf10b,chr2L:2766160-2772161,warm,cold,OK,50.9949,39.9639,-0.351656,-0.808325,0.24355,0.401389,no
"CG15399,colt",chr2L:2766160-2772161,warm,cold,OK,48.873,40.0171,-0.288422,-0.85343,0.1032,0.208303,no
Syt1,chr2L:2779173-2799979,warm,cold,OK,42.0363,38.8788,-0.112653,-0.31177,0.48205,0.650734,no
CG15400,chr2L:2812436-2815802,warm,cold,OK,13.5141,8.3,-0.703281,-0.869305,0.05115,0.116897,no
Duox,chr2L:2815969-2830248,warm,cold,OK,2.7454,2.69665,-0.0258486,-0.081214,0.86315,0.927241,no
CG3123,chr2L:2815969-2830248,warm,cold,OK,1.4811,0.942938,-0.651436,-0.674709,0.12805,0.246306,no
CG3119,chr2L:2834886-2837833,warm,cold,OK,1.21302,1.05365,-0.203213,-0.237646,0.5577,0.716574,no
CG18558,chr2L:2840039-2844513,warm,cold,OK,2.02445,1.69019,-0.260345,-0.360078,0.43085,0.603108,no
CG18557,chr2L:2844600-2845734,warm,cold,NOTEST,0.272992,0.978748,1.84208,0,1,1,no
CG3117,chr2L:2845925-2847212,warm,cold,OK,0.428346,4.00683,3.22561,4.46859,5.00E-05,0.000245228,yes
CG3104,chr2L:2847550-2855778,warm,cold,OK,4.27363,4.8578,0.184841,0.352467,0.4221,0.595018,no
CG31694,chr2L:2855970-2874509,warm,cold,OK,61.3423,80.2687,0.387955,1.04321,0.0259,0.0666677,no
"NTPase,Prx6005",chr2L:2874871-2885850,warm,cold,OK,67.1923,54.3316,-0.306505,-1.02618,0.0303,0.075734,no
"Rrp1,Ts",chr2L:2954761-2972676,warm,cold,OK,7.89788,7.14911,-0.143703,-0.13923,0.7437,0.85345,no
CG9641,chr2L:2972755-2979354,warm,cold,OK,22.0213,20.6857,-0.0902683,-0.277489,0.5852,0.738908,no
CG9643,chr2L:2972755-2979354,warm,cold,OK,9.18283,5.5603,-0.723776,-0.63612,0.14725,0.275003,no
Chd1,chr2L:2979561-2987723,warm,cold,OK,14.8673,17.8896,0.266983,1.12543,0.01215,0.0347059,yes
okr,chr2L:2988115-2992759,warm,cold,OK,1.92526,1.77049,-0.120905,-0.184888,0.68305,0.811259,no
CG17224,chr2L:3016590-3018308,warm,cold,OK,33.8296,19.812,-0.771908,-2.76692,5.00E-05,0.000245228,yes
alpha4GT1,chr2L:3018507-3029168,warm,cold,OK,9.24811,10.455,0.176963,0.382653,0.4542,0.624624,no
CG3605,chr2L:3018507-3029168,warm,cold,OK,12.505,11.8684,-0.0753892,-0.191622,0.65775,0.794381,no
CG17258,chr2L:3029252-3035367,warm,cold,OK,14.0786,15.9934,0.18397,0.433278,0.4247,0.597756,no
"CG17259,cnir",chr2L:3035459-3039812,warm,cold,OK,23.6739,16.411,-0.528639,-1.52589,0.00285,0.00987889,yes
toc,chr2L:3068264-3144786,warm,cold,OK,76.7003,71.9465,-0.0923078,-0.354905,0.43865,0.609764,no
CG12400,chr2L:3144952-3145848,warm,cold,OK,213.348,236.137,0.146414,0.583547,0.2007,0.345863,no
Mad,chr2L:3146055-3159643,warm,cold,OK,16.5869,14.2607,-0.217996,-0.837405,0.06195,0.137486,no
"CG34406,CG44002",chr2L:3169812-3172751,warm,cold,OK,1.60804,0.351154,-2.19512,-2.14689,5.00E-05,0.000245228,yes
CG31698,chr2L:3173282-3173826,warm,cold,NOTEST,0,0.078538,inf,0,1,1,no
CG34393,chr2L:3175111-3199620,warm,cold,OK,1.89831,1.05863,-0.842518,-1.91708,0.0001,0.000469607,yes
CG3332,chr2L:3275793-3280533,warm,cold,OK,12.4896,4.6945,-1.41169,-4.52491,5.00E-05,0.000245228,yes
CG9664,chr2L:3291244-3294706,warm,cold,OK,9.36802,10.0182,0.0968061,0.298715,0.5093,0.675381,no
CG9663,chr2L:3294913-3303129,warm,cold,OK,8.76488,15.8501,0.854687,3.13163,5.00E-05,0.000245228,yes
CG3326,chr2L:3304099-3319872,warm,cold,OK,1.06793,1.12549,0.0757412,0.0474238,0.9096,0.953704,no
E23,chr2L:3330929-3355000,warm,cold,OK,3.73333,3.61558,-0.0462357,-0.0709412,0.8724,0.932264,no
CG34394,chr2L:3357617-3373418,warm,cold,OK,16.2417,14.0447,-0.20967,-0.471807,0.28995,0.455322,no
CG15412,chr2L:3373566-3375711,warm,cold,OK,30.9054,14.7466,-1.06748,-4.0465,5.00E-05,0.000245228,yes
CG9662,chr2L:3375831-3376737,warm,cold,OK,27.3127,21.4804,-0.346551,-1.13082,0.01355,0.0382611,yes
Sfp23F,chr2L:3387353-3387743,warm,cold,OK,80.8271,21.4783,-1.91196,-10.9856,5.00E-05,0.000245228,yes
CG42460,chr2L:3387897-3388496,warm,cold,OK,5.27095,4.36379,-0.27248,-0.659783,0.339,0.510378,no
pgant2,chr2L:3404456-3426642,warm,cold,OK,4.76375,4.71332,-0.0153537,-0.0234745,0.96175,0.978724,no
Cog3,chr2L:3452385-3457109,warm,cold,OK,9.10857,7.72448,-0.237788,-0.637069,0.15165,0.281221,no
"CG3246,msl-2",chr2L:3457328-3467389,warm,cold,OK,59.7878,30.8334,-0.955359,-3.18174,0.00035,0.00149512,yes
CG3238,chr2L:3467415-3470007,warm,cold,OK,0.780165,1.40649,0.850243,1.65076,0.00115,0.00441905,yes
CG15414,chr2L:3478269-3491071,warm,cold,OK,0.682339,23.6877,5.1175,1.73846,0.03405,0.0832928,no
tim,chr2L:3493917-3508119,warm,cold,OK,115.838,85.6068,-0.436317,-1.76569,5.00E-05,0.000245228,yes
CG31954,chr2L:3509057-3510102,warm,cold,NOTEST,0.535536,0.890206,0.733156,0,1,1,no
CG33123,chr2L:3510477-3514656,warm,cold,OK,14.7969,14.7663,-0.00298529,-0.0127988,0.9787,0.987556,no
CG3213,chr2L:3514790-3524056,warm,cold,OK,336.804,282.14,-0.255497,-0.874987,0.0683,0.148566,no
Sr-CIV,chr2L:3514790-3524056,warm,cold,OK,2.51252,5.12815,1.0293,0.252336,0.59675,0.747961,no
Spindly,chr2L:3525130-3530317,warm,cold,OK,3.06439,3.14016,0.0352392,0.071755,0.8677,0.929747,no
sob,chr2L:3578012-3580769,warm,cold,OK,1.31117,0.622881,-1.07382,-1.98408,0.00035,0.00149512,yes
CR43823,chr2L:3588484-3590301,warm,cold,OK,0.865329,1.20048,0.472287,0.787541,0.1043,0.210165,no
odd,chr2L:3604221-3606748,warm,cold,OK,5.12372,1.58787,-1.6901,-4.36365,5.00E-05,0.000245228,yes
"CG15418,for",chr2L:3619190-3656951,warm,cold,OK,80.3377,108.256,0.430291,1.38169,0.00625,0.0195488,yes
mir-4972,chr2L:3619190-3656951,warm,cold,NOTEST,0,0,0,0,1,1,no
"CG42463,Sfp24Ba,Sfp24Bb",chr2L:3662744-3693939,warm,cold,OK,932.753,625.146,-0.5773,-3.47004,5.00E-05,0.000245228,yes
Sfp24Bc,chr2L:3662744-3693939,warm,cold,OK,37.8016,25.8,-0.551074,-0.645932,0.4879,0.655935,no
"Acp24A4,CG16704,CG3513",chr2L:3662744-3693939,warm,cold,OK,545.756,535.278,-0.0279675,-0.0699301,0.8995,0.947602,no
"CG16713,CG43165",chr2L:3694356-3695473,warm,cold,OK,115.666,270.142,1.22375,4.12081,5.00E-05,0.000245228,yes
CG16712,chr2L:3696239-3696661,warm,cold,OK,663.021,1207.28,0.864632,8.55974,5.00E-05,0.000245228,yes
