# submitted_item	validated_id	current_symbol
x	FBgn0020337	anon-65Ba
CG32068	FBgn0052068	Adi1
Mocs1	FBgn0263241	Mocs1
CG32082	FBgn0052082	IRSp53
CG6928	FBgn0036240	CG6928
Lsp2	FBgn0002565	Lsp2
CAH2	FBgn0027843	CAH2
CG6910	FBgn0036262	CG6910
Est-6,Est-P	unknown ID	-
CG11529	FBgn0036264	CG11529
CG32111	FBgn0052111	lncRNA:CR32111
CG14120	FBgn0036321	CG14120
CG11267	FBgn0036334	CG11267
CG43146	FBgn0262622	lncRNA:CR43146
CR43911	FBgn0264512	lncRNA:CR43911
Nplp2	FBgn0287423	Nplp2
ImpL1	FBgn0001256	ImpL1
CG10725	FBgn0036362	CG10725
stv	FBgn0086708	stv
Hml	FBgn0029167	Hml
Hsc70Cb	FBgn0026418	Hsc70Cb
CG8100	FBgn0036410	CG8100
CG43120	FBgn0262580	CG43120
CG17839	FBgn0036454	CG17839
DCX-EMAP	FBgn0259099	DCX-EMAP
mnd	FBgn0002778	mnd
CG33259	FBgn0036495	CG33259
CG33258	FBgn0053258	CG33258
CG13075	FBgn0036563	CG13075
CG13067	FBgn0036589	CG13067
CG13065	FBgn0036590	CG13065
CG13063	FBgn0036601	CG13063
CG13062	FBgn0036603	CG13062
Nplp3	FBgn0042201	Nplp3
CG13056	FBgn0040794	CG13056
CG4842	FBgn0036620	CG4842
Grp	FBgn0261278	grp
Grp	FBgn0036627	Gagr
mbf1	FBgn0262732	mbf1
CG4101	FBgn0025558	CG4101
CG9701	FBgn0036659	CG9701
CG42852	FBgn0262099	CG42852
Exn	FBgn0261547	Exn
TpnC73F	FBgn0010424	TpnC73F
CG7542,Nedd4	unknown ID	-
CG7497	FBgn0036742	CG7497
CG34002	FBgn0054002	CG34002
CG7402	FBgn0036768	CG7402
mRpS26	FBgn0036774	mRpS26
CG32195,CG7341	unknown ID	-
CG18231,CG18233,CG18234,CG32199,CG32201	unknown ID	-
HipHop	FBgn0036815	HipHop
Cpr76Bc	FBgn0036880	Cpr76Bc
Cpr76Bd	FBgn0036881	Cpr76Bd
CG7668	FBgn0036929	CG7668
CG17147	FBgn0260393	CG17147
Spn77Bc	FBgn0036970	Spn77Bc
in	FBgn0001259	in
in	FBgn0001250	if
in	FBgn0001269	inv
zye	FBgn0036985	zye
mag	FBgn0036996	mag
CG5955	FBgn0036997	CG5955
CG18281	FBgn0037003	CG18281
CG17637	FBgn0037004	CG17637
CG43251	FBgn0262896	CG43251
CG43931	FBgn0264552	CG43931
CG11458	FBgn0040637	CG11458
CG33288	FBgn0053288	CG33288
CG33290	FBgn0053290	CG33290
CG33292,CG43980	unknown ID	-
CS-2	FBgn0029091	Chs2
CG7470	FBgn0037146	P5CS
Act79B	FBgn0000045	Act79B
Sfp79B	FBgn0259973	Sfp79B
CG11437	FBgn0037165	CG11437
CG11367	FBgn0037185	CG11367
CG11367	FBgn0260481	CG32454
CG11131	FBgn0037204	CG11131
nrm	FBgn0262509	nrm
CG43968	FBgn0264699	CG43968
CG7049	FBgn0035102	CG7049
Vdup1	FBgn0035103	Vdup1
mthl10	FBgn0035132	mthl10
klar	FBgn0001316	klar
CG17181	FBgn0035144	Kah
CG3344	FBgn0035154	hiro
CG32483	FBgn0052483	CG32483
CG13894	FBgn0035157	CG13894
LysX	FBgn0004431	LysX
CG32335,CG9119	unknown ID	-
LysD	FBgn0004427	LysD
CG9192	FBgn0035193	CG9192
Cht2	FBgn0022702	Cht2
Cpr62Bc	FBgn0035281	Cpr62Bc
CG13936	FBgn0035282	CNMa
CG5687	FBgn0035293	CG5687
ecd	FBgn0000543	ecd
CG16762	FBgn0035343	CG16762
msn	FBgn0010909	msn
spz5	FBgn0035379	spz5
Cht7	FBgn0035398	Cht7
CG42525	FBgn0260430	CG42525
CG10863	FBgn0027552	CG10863
CG15012	FBgn0035528	CG15012
CG11345	FBgn0035546	CG11345
CG13722	FBgn0035553	CG13722
CG32243	FBgn0052243	CG32243
Con	FBgn0005775	Con
CG15213	FBgn0040843	CG15213
CG10671	FBgn0035586	Fitm
CG13285	FBgn0035674	CG13295
CG13285	FBgn0035611	CG13285
CG10592	FBgn0035619	Alp10
DnaJ-1	FBgn0263106	DnaJ-1
CG10479	FBgn0035656	CG10479
Jon65Ai	FBgn0035667	Jon65Ai
CG10472	FBgn0035670	CG10472
CG10467,CG10469	unknown ID	-
l(3)mbn	FBgn0002440	l(3)mbn
l(3)mbn	FBal0011021	l(3)mbn[1]
Cpr65Au	FBgn0042119	Cpr65Au
Acp65Aa	FBgn0020765	Acp65Aa
LanA	FBgn0002526	LanA
Best2	FBgn0035696	Best2
ple	FBgn0005626	ple
ple	FBal0013851	ple[1]
CG43780,CG43781	unknown ID	-
CG8560	FBgn0035781	CG8560
sphinx1,sphinx2	unknown ID	-
CG33276	FBgn0053276	Urm1
Snmp2	FBgn0035815	Snmp2
CG32369	FBgn0052369	CG32369
CG13676	FBgn0035844	CG13676
CG42445	FBgn0259916	CG42445
Unr	FBgn0263352	Unr
CG43163	FBgn0262719	CG43163
Arr2,CG13305	unknown ID	-
Prm	FBgn0003149	Prm
CG13311	FBgn0035929	CG13311
CG5644	FBgn0035948	CG5644
Argk	FBgn0000116	Argk
Hsp67Bc	FBgn0001229	Hsp67Bc
Hsp26	FBgn0001225	Hsp26
Hsp67Ba	FBgn0001227	Hsp67Ba
CG3088	FBgn0036015	CG3088
CG14168	FBgn0036044	Zasp67
Ilp3	FBgn0044050	Ilp3
CG32055	FBgn0052055	CG32055
CG42521	FBgn0260396	CG42521
tna	FBgn0026160	tna
CG6272,Elo68beta	unknown ID	-
Sod	FBgn0003462	Sod1
Sod	FBgn0010213	Sod2
Plod	FBgn0036147	Plod
CG14132	FBgn0040817	CG14132
Muc68D	FBgn0036203	Muc68D
CG10361	FBgn0036208	CG10361
CG11597,CG5946	unknown ID	-
CG43064	FBgn0262366	CG43064
prc	FBgn0028573	prc
Adk1,CG5626	unknown ID	-
CG4300	FBgn0036272	Sms
GRHRII	FBgn0036278	CrzR
CG10973	FBgn0036306	CG10973
CG10943	FBgn0036320	CG10943
CG12520	FBgn0036324	CG12520
CG32115	FBgn0052115	CG32115
CG10083	FBgn0036372	Abp1
CG10710	FBgn0036377	CG10710
CG8745	FBgn0036381	CG8745
CG32138	FBgn0267795	Frl
CG3868	FBgn0036422	CG3868
CG9238	FBgn0036428	Gbs-70E
bmm	FBgn0036449	bmm
CR43432	FBgn0263380	lncRNA:CR43432
Reck	FBgn0036463	Reck
CG12310,CG18581,CG43678,CG43679	unknown ID	-
CG16959	FBgn0036481	CG16959
CG7011	FBgn0036489	CG7011
comm	FBgn0010105	comm
CG13073	FBgn0036577	CG13073
CG4950	FBgn0036587	CG4950
CG4962	FBgn0036597	CG4962
CG13044	FBgn0036599	CG13044
Pdh	FBgn0011693	Pdh
Pdh	FBgn0028325	Pdha
Pdh	FBgn0039635	Pdhb
CG4893	FBgn0266417	ringer
CG4753	FBgn0036622	Agpat4
fax	FBgn0014163	fax
aos	FBgn0004569	aos
Baldspot	FBgn0260960	Baldspot
Galpha73B	FBgn0010223	Galphaf
CG3764	FBgn0036684	CG3764
Cad74A	FBgn0036715	Cad74A
Edc3	FBgn0036735	Edc3
CycT,Jon74E	unknown ID	-
Eip74EF	FBgn0000567	Eip74EF
cln3	FBgn0036756	Cln3
CG5506	FBgn0036766	CG5506
CG16775	FBgn0036767	CG16775
Tsp74F	FBgn0036769	Tsp74F
CG5290	FBgn0036772	CG5290
CG44006	FBgn0264748	CG44006
CG44004	FBgn0264746	CG44004
CG13698	FBgn0036773	CG13698
Cyp312a1	FBgn0036778	Cyp312a1
W	FBgn0003996	w
W	FBgn0023036	l(2)46Eg
W	FBgn0003997	hid
W	FBgn0051217	modSP
W	FBab0010378	T(3;4)Antp[W]
W	FBal0015298	Scr[W]
skl	FBgn0036786	skl
CG32196	FBgn0052196	CG32196
CG3902	FBgn0036824	CG3902
CG3893	FBgn0036826	arx
CG18135,CG3808	unknown ID	-
CG43407	FBgn0263326	CG43407
Spn75F	FBgn0052203	Spn75F
pip	FBgn0003089	pip
pip	FBgn0263102	psq
CG33062	FBgn0053062	CG33062
CG9451	FBgn0036876	CG9451
CG9452	FBgn0036877	CG9452
Oat	FBgn0022774	Oat
verm	FBgn0261341	verm
verm	FBti0024694	P{SUPor-P}verm[KG07819]
serp	FBgn0260653	serp
CG42637,Gyc76C	unknown ID	-
Csas,fln	unknown ID	-
CG7017	FBgn0036951	CG7017
Toll-9	FBgn0036978	Toll-9
CG13248	FBgn0036984	CG13248
CG5282	FBgn0036986	CG5282
CG11796	FBgn0036992	Hpd
CG5130	FBgn0037000	ZnT77C
kni	FBgn0001320	kni
CG4074	FBgn0037017	CG4074
Sfp77F	FBgn0259972	Sfp77F
CG12974	FBgn0037065	CG12974
CG11309,Pc	unknown ID	-
capaR	FBgn0037100	CapaR
CG7133	FBgn0037150	CG7133
CG7130	FBgn0037151	CG7130
laza	FBgn0037163	laza
CR43270,mir-958	unknown ID	-
CG11241,l(3)04053	unknown ID	-
CG40470	FBgn0058470	CG40470
Ucrh	FBgn0260008	UQCR-11
Ucrh	FBgn0030733	UQCR-14
CG17374	FBgn0287184	FASN3
Gel,abs	unknown ID	-
CG1092	FBgn0037228	CG1092
CG14645	FBgn0040687	CG14645
Mur82C	FBgn0037260	Mur82C
CG1124	FBgn0037290	CG1124
CG1113	FBgn0037304	CG1113
7B2	FBgn0041707	7B2
7B2	FBal0258425	Irbp[7B2]
CG12746	FBgn0037341	CG12746
plx	FBgn0261261	plx
Obp83cd	FBgn0046878	Obp83cd
CG31562	FBgn0051562	CR31562
Osi24	FBgn0037409	Osi24
Osi15	FBgn0037424	Osi15
CG42537,CG42564	unknown ID	-
Neurochondrin	FBgn0037447	Neurochondrin
CG15186	FBgn0037448	CG15186
CR42721,mir-993	unknown ID	-
CG31493	FBgn0051493	CG31493
sas	FBgn0002306	sas
sas	FBgn0038045	NANS
CG14608	FBgn0037487	thw
CG14607	FBgn0037488	CG14607
CG31496	FBgn0051496	CG31496
CG2678	FBgn0014931	CG2678
unc-45	FBgn0010812	unc-45
CG43060	FBgn0262362	CG43060
CG43061	FBgn0262363	CG43061
CG7910	FBgn0037547	CG7910
CG15864	FBgn0040528	CG15864
CG31463	FBgn0051463	CG31463
CG31259	FBgn0051259	CG31259
CG8359,Tcp-1eta	unknown ID	-
osk	FBgn0003015	osk
CAHbeta	FBgn0037646	CAHbeta
CG8420	FBgn0037664	CG8420
CG8436	FBgn0037670	Ibf1
CG8147	FBgn0043791	phu
CG8534	FBgn0037761	CG8534
eloF	FBgn0037762	eloF
Npc2e	FBgn0051410	Npc2e
CG3940	FBgn0037788	CAH7
CG3999	FBgn0037801	CG3999
CG14683,CG14684,pug	unknown ID	-
CG14687	FBgn0037835	CG14687
CG42394	FBgn0259740	CG42394
Sodh-2	FBgn0022359	Sodh-2
CG18577	FBgn0037870	CG18577
HisCl1	FBgn0037950	HisCl1
Hsp70Aa,Hsp70Ab	unknown ID	-
Sfp87B	FBgn0259975	Sfp87B
GstD2	FBgn0010038	GstD2
GstD4	FBgn0010040	GstD4
GstD5	FBgn0010041	GstD5
GstD8	FBgn0010044	GstD8
CG5167	FBgn0038038	Sccpdh2
Hsp70Bbb	FBgn0051354	Hsp70Bbb
Hsp70Bc	FBgn0013279	Hsp70Bc
Hsp70Bc	FBgn0013278	Hsp70Bb
hug	FBgn0028374	Hug
CG11598	FBgn0038067	CG11598
CG11608	FBgn0038069	CG11608
CG6234	FBgn0038071	Dtg
CG6188	FBgn0038074	Gnmt
CG5724	FBgn0038082	Ugt37A2
CG8630	FBgn0038130	CG8630
CG8773	FBgn0038135	CG8773
CheA87a	FBgn0038142	CheA87a
ninaB	FBgn0002937	ninaB
Adgf-C	FBgn0038173	Adgf-C
Cht5	FBgn0038180	Cht5
CG9286	FBgn0038183	CG9286
tal-AA	FBgn0259733	tal-AA
Ipp	FBgn0016672	Ipp
Ipp	FBgn0032485	CG9426
CG3509	FBgn0038252	BigH1
CG14857	FBgn0038262	CG14857
CG3631	FBgn0038268	CG3631
CG3837	FBgn0038279	Sdr
Tm1	FBgn0003721	Tm1
CG14866,Tm2	unknown ID	-
ea	FBgn0000533	ea
mRpL9	FBgn0038319	mRpL9
Act88F	FBgn0000047	Act88F
CG5205	FBgn0038344	obe
CG43336	FBgn0263041	CG43336
CG4525	FBgn0038358	Ttc26
CG34276	FBgn0085305	CG34276
pnr	FBgn0003117	pnr
pnr	FBti0004011	P{GawB}pnr[MD237]
pnr	FBtp0090138	P{pnr-GAL4.U}
sxe2	FBgn0038398	sxe2
CG6006	FBgn0063649	CG6006
CG8927,sra	unknown ID	-
CG14892	FBgn0038447	CG14892
CG17562	FBgn0038449	CG17562
CG17560	FBgn0038450	CG17560
Cctgamma	FBgn0015019	CCT3
CG3534	FBgn0038463	CG3534
Irc	FBgn0038465	Irc
Pxd	FBgn0004577	Pxd
CG31265,CG31269	unknown ID	-
CG31266	FBgn0051266	CG31266
CG31267	FBgn0051267	CG31267
CG5246	FBgn0038484	CG5246
CG5285	FBgn0038490	Smug
CG31418	FBgn0051418	CG31418
CG42798	FBgn0261932	CG42798
CG5860	FBgn0038506	CG5860
CG42821,CG42822	unknown ID	-
CG5873	FBgn0038511	cysu
Mdh2	FBgn0262559	Mdh2
Mdh2	FBgn0262782	Mdh1
repo	FBgn0011701	repo
Cyp12a5	FBgn0038680	Cyp12a5
sqz	FBgn0010768	sqz
CG31475	FBgn0051475	CG31475
cry	FBgn0025680	cry
cry	FBgn0003582	Su(Ste)
cry	FBgn0286871	lncRNA:CR46393
CG3734	FBgn0038700	CG3734
CG3739	FBgn0038702	CG3739
CG17751	FBgn0038717	CG17751
CG17752	FBgn0038718	CG17752
CG5023	FBgn0038774	CG5023
Cpr92F	FBgn0038819	Cpr92F
CR43452	FBgn0263406	lncRNA:CR43452
CG31205	FBgn0051205	CG31205
TotB	FBgn0038838	TotB
Hsromega	FBgn0001234	lncRNA:Hsromega
CheB93a	FBgn0038888	CheB93a
CheB93b	FBgn0051438	CheB93b
CG5849	FBgn0038897	CG5849
CG31343	FBgn0051343	CG31343
CG31233	FBgn0051233	CG31233
CG31198	FBgn0051198	CG31198
CG6690	FBgn0038918	Qsox3
CG17843	FBgn0038919	Qsox2
how	FBgn0264491	how
how	FBti0150063	P{GawB}how[24B]
CG5791	FBgn0040582	BomBc3
CG7084	FBgn0038938	CG7084
rdhB	FBgn0038946	rdhB
CG6954	FBgn0266418	wake
CG6972	FBgn0039008	CG6972
CG6660	FBgn0039030	CG6660
CG17110,CG6726	unknown ID	-
CG6733	FBgn0039052	CG6733
CG42827,CG42828	unknown ID	-
CG10300	FBgn0039107	CG10300
CG10375,Lsd-1	unknown ID	-
CG5986,CG5991	unknown ID	-
Npc2f	FBgn0039154	Npc2f
CG6178	FBgn0039156	CG6178
CG13606	FBgn0039161	CG13606
Orct	FBgn0019952	Orct
CG6432,Dis3,Dms	unknown ID	-
mld	FBgn0263490	mld
tld	FBgn0003719	tld
CG43273	FBgn0262962	CG43273
CG11089,CG31381	unknown ID	-
CG11069	FBgn0039244	CG11069
CG11786	FBgn0039264	CG11786
CG31106	FBgn0051106	CG31106
CG11852	FBgn0039297	CG11852
to	FBgn0039298	to
CG11854	FBgn0039299	CG11854
CG11892	FBgn0039313	CG11892
CG13658	FBgn0039315	CG13658
CG11893	FBgn0039316	CG11893
CG5112	FBgn0039341	CG5112
CG5107	FBgn0039342	CG5107
alpha4GT2	FBgn0039378	alpha4GT2
CG31091	FBgn0051091	CG31091
CG42235	FBgn0250757	CG42235
CG12290	FBgn0039419	CG12290
CG14246	FBgn0040608	CG14246
CG14257	FBgn0039479	CG14257
CG14258	FBgn0039482	CG14258
CG17189	FBgn0039485	CG17189
Cyp6a18	FBgn0039519	Cyp6a18
CG12880	FBgn0046258	CG12880
CG43319	FBgn0263024	CG43319
Acp98AB	FBgn0263597	Acp98AB
CG9988	FBgn0039591	CG9988
CG9989	FBgn0039593	Sid
Doa	FBgn0265998	Doa
CG11828	FBgn0039616	CG11828
CG14518	FBgn0039621	CG14518
CG11843	FBgn0039630	CG11843
CG11873	FBgn0039633	Bicra
CR31044	FBgn0051044	lncRNA:CR31044
Dr	FBgn0000492	Dr
Dr	FBgn0003284	Rsp
Obp99d	FBgn0039684	Obp99d
Obp99d	FBgn0039685	Obp99b
CG15506,CG34296	unknown ID	-
Cad99C	FBgn0039709	Cad99C
CG15515	FBgn0039719	CG15515
Jon99Ciii	FBgn0003357	Jon99Ciii
Jon99Ciii	FBgn0003356	Jon99Cii
CG7896	FBgn0039728	CG7896
Sry-delta	FBgn0003512	Sry-delta
CG15529	FBgn0039748	CG15529
CG9682	FBgn0039760	CG9682
CG18404	FBgn0039761	CG18404
CG15533	FBgn0039768	CG15533
CG15534	FBgn0039769	CG15534
CDase	FBgn0039774	CDase
Jon99Fi	FBgn0039778	Jon99Fi
CG15539,CG34041	unknown ID	-
CG9698	FBgn0039784	CG9698
CG31016,PH4alphaNE3	unknown ID	-
Spn100A	FBgn0039795	Spn100A
CG15544	FBgn0039804	CG15544
Cpr100A	FBgn0039805	Cpr100A
Aph-4	FBgn0016123	Alp4
Aph-4	FBal0000671	Alp1[F]
CG18673	FBgn0040629	CAH5
CG2003	FBgn0039886	CG2003
Dsk	FBgn0000500	Dsk
Dip2	FBgn0040466	Dlip2
CG14661	FBgn0037288	CG14661
CG2022	FBgn0037292	plh
cno	FBgn0259212	cno
kkv	FBgn0001311	kkv
CG2663	FBgn0037323	CG2663
PEK	FBgn0037327	PEK
CG31547	FBgn0051547	NKCC
CG11459	FBgn0037396	CG11459
Gasp	FBgn0026077	Gasp
Obp83ef	FBgn0046876	Obp83ef
Obp83g	FBgn0046875	Obp83g
CR43487	FBgn0263498	lncRNA:CR43487
CG1021	FBgn0037443	Dmtn
CG1315	FBgn0026565	Ass
CG42651	FBgn0261503	lncRNA:CR42651
Antp	FBgn0260642	Antp
Gld	FBgn0001112	Gld
CG10029	FBgn0037498	CG10029
CG43254	FBgn0262899	CG43254
dsx	FBgn0000504	dsx
dsx	FBal0003154	dsx[1]
CG2781	FBgn0037534	Elovl7
CheA84a	FBgn0261290	CheA84a
CG11768,CG34135	unknown ID	-
CG16749,CG8866	unknown ID	-
CR43301	FBgn0262993	lncRNA:CR43301
GstZ2	FBgn0037697	GstZ2
Rlc1,mRpL47	unknown ID	-
Fst	FBgn0037724	Fst
Unc-115a,Unc-115b,p24-2	unknown ID	-
CR44035	FBgn0264827	asRNA:CR44035
Fancl	FBgn0037781	Fancl
Npc2d	FBgn0037782	Npc2d
CG5361	FBgn0037786	Alp13
knk	FBgn0001321	knk
CG12814	FBgn0037796	CG12814
Irp-1B	FBgn0024957	Irp-1B
mir-4944	FBgn0263547	mir-4944
CG14688	FBgn0037819	Phyhd1
Ugt86Dd	FBgn0040256	Ugt35C1
Ugt86Dj	FBgn0040250	Ugt304A1
scpr-B	FBgn0037888	scpr-B
CG6723	FBgn0037895	CG6723
CG6830,Taf12	unknown ID	-
CG6908	FBgn0037936	CG6908
CG18765	FBgn0042110	CG18765
CG10005	FBgn0037972	CG10005
CG18547	FBgn0037973	CG18547
CG10096,CG10097	unknown ID	-
alphagamma-element:CR32865	FBgn0052865	lncRNA:alphagamma-element:CR32865
Octbeta2R	FBgn0038063	Octbeta2R
CG43630	FBgn0263621	CG43630
Cyp313a4	FBgn0038076	Cyp313a4
CG5999	FBgn0038083	Ugt37A3
CR44234	FBgn0265165	lncRNA:CR44234
CG8483	FBgn0038126	CG8483
CG8449	FBgn0038129	TBC1D5
CG44142	FBgn0264991	CG44142
CG8795	FBgn0038139	PK2-R2
CG9813	FBgn0038143	CG9813
CR17025	FBgn0040554	asRNA:CR17025
CR17025	FBgn0286034	asRNA:CR46354
Art6	FBgn0038189	Art6
Pk1r	FBgn0038201	PK1-R
CG14356	FBgn0038207	CG14356
CG33109	FBgn0053109	CG33109
CG9616	FBgn0038214	CG9616
CG14841,trx	unknown ID	-
CG8066	FBgn0038243	CG8066
Meltrin	FBgn0265140	Meltrin
CG7530	FBgn0038256	CG7530
VhaPPA1-2	FBgn0262514	VhaPPA1-2
CG6966	FBgn0038286	CG6966
Mf	FBgn0038294	Mf
Spn88Ea,Spn88Eb	unknown ID	-
CG31183	FBgn0051183	CG31183
CG14877	FBgn0038380	CG14877
CG10407,ird5	unknown ID	-
Mhcl	FBgn0026059	Mhcl
Bin1	FBgn0024491	Bin1
Bin1	FBgn0027356	Amph
CG14880	FBgn0038422	CG14880
CG10345	FBgn0027562	CG10345
iab-8	FBgn0262290	mir-iab-8
iab-8	FBgn0000015	Abd-B
iab-8	FBgn0264857	lncRNA:iab8
CG18622	FBgn0038460	CG18622
CG17475	FBgn0038481	CG17475
CG4053	FBgn0038482	CG4053
CR43489	FBgn0263500	lncRNA:CR43489
CG43196	FBgn0262825	lncRNA:CR43196
CG42824	FBgn0262006	CG42824
htl	FBgn0010389	htl
Vha100-4	FBgn0038613	Vha100-4
CG43210	FBgn0262846	CG43210
CG7695	FBgn0038631	CG7695
Mekk1	FBgn0024329	Mekk1
CG7720	FBgn0038652	CG7720
Ppcs	FBgn0261285	Ppcs
unc79	FBgn0038693	unc79
unc79	FBtp0042844	P{KK102682}
CR44175,mir-997	unknown ID	-
CG6300	FBgn0038730	CG6300
bnl	FBgn0014135	bnl
ninaE	FBgn0002940	ninaE
CG4459	FBgn0038753	CG4459
CG4367	FBgn0038783	CG4367
CG4000	FBgn0038820	CG4000
Ir93a	FBgn0259215	Ir93a
CG3822	FBgn0038837	KaiR1D
TotX	FBgn0044810	TotX
CG10827	FBgn0038845	Alp5
CG7079	FBgn0038849	CG7079
CG17282	FBgn0038857	Bdbt
e	FBgn0000527	e
e	FBgn0041711	yellow-e
e	FBgn0030317	pkm
e	FBal0009785	l(3)68Aa[5]
e	FBal0009813	l(3)68Bd[5]
e	FBal0009820	l(3)68Bb[5]
SIFR	FBgn0053527	SIFa
SIFR	FBgn0038880	SIFaR
InR	FBgn0283499	InR
CG42869,CG42870,Sfp93F	unknown ID	-
fit	FBgn0038914	fit
CG5376	FBgn0038977	CG5376
T-cp1	FBgn0003676	CCT1
CG33099	FBgn0053099	CG33099
CG33093	FBgn0053093	CG33093
CG5315	FBgn0038984	AdipoR
CG5278	FBgn0038986	sit
CG13833	FBgn0039040	CG13833
CG17119	FBgn0039045	CG17119
CG17111	FBgn0039048	CG17111
CG4408	FBgn0039073	CG4408
CG4374	FBgn0039078	CG4374
CG10170,CG16732	unknown ID	-
CG10182	FBgn0039091	CG10182
CG16723	FBgn0039092	CG16723
Hsp68	FBgn0001230	Hsp68
CG13607	FBgn0039151	CG13607
CG34290	FBgn0085319	CG34290
CG18528	FBgn0039189	CG18528
CG5805	FBgn0039223	CG5805
CG13641	FBgn0039239	CG13641
CG31121	FBgn0051121	CG31121
CG13643	FBgn0040601	CG13643
Cad96Ca	FBgn0022800	Cad96Ca
CG10513	FBgn0039311	CG10513
CG10514	FBgn0039312	CG10514
CG10550	FBgn0039321	CG10550
CG10562	FBgn0039326	CG10562
CHKov1	FBgn0045761	CHKov1
CR43456	FBgn0263410	lncRNA:CR43456
CG4673,Npl4	unknown ID	-
LpR1	FBgn0066101	LpR1
CG31380	FBgn0051380	CG31380
CR43632	FBgn0263623	lncRNA:CR43632
CR43633	FBgn0263624	lncRNA:CR43633
E(spl)mbeta-HLH	FBgn0002733	E(spl)mbeta-HLH
dys	FBgn0034072	Dg
dys	FBgn0260003	Dys
dys	FBgn0039411	dysf
CG34130	FBgn0083966	CG34130
CG34129	FBgn0083965	CG34129
CG34291,CG6503	unknown ID	-
Pdf	FBgn0023178	Pdf
CG42789	FBgn0261860	CG42789
CG6296	FBgn0039470	CG6296
CG6295	FBgn0039471	CG6295
Nep5	FBgn0039478	Nep5
Cpr97Ea	FBgn0039480	Cpr97Ea
Cpr97Eb	FBgn0039481	Cpr97Eb
CG5984	FBgn0039500	CG5984
CG3348	FBgn0040609	CG3348
CG5612	FBgn0039529	CG5612
CG34294,Mlc1,tau	unknown ID	-
CG12259	FBgn0039557	CG12259
CG14061	FBgn0039598	aqrs
CG11882	FBgn0039642	CG11882
CG11951	FBgn0039656	CG11951
stg	FBgn0003525	stg
CG7567	FBgn0039670	CG7567
CG31041	FBgn0051041	CG31041
CG7834	FBgn0039697	CG7834
CG7829	FBgn0039703	CG7829
CG7824	FBgn0039711	CG7824
Jon99Cii	FBgn0003356	Jon99Cii
Jon99Ci	FBgn0003358	Jon99Ci
CG31202	FBgn0051202	alpha-Man-Ic
CG7920	FBgn0039737	CG7920
CG15528	FBgn0039742	CG15528
Mlc2	FBgn0002773	Mlc2
CG15531	FBgn0039755	CG15531
CG9737	FBgn0039758	CG9737
CG9733	FBgn0039759	CG9733
Jon99Fii	FBgn0039777	Jon99Fii
PH4alphaSG1	FBgn0051014	PH4alphaSG1
CG31524	FBgn0051524	CG31524
Npc2g,Npc2h	unknown ID	-
CG15546	FBgn0039807	CG15546
stops	FBgn0086704	stops
CG15561,CG1746	unknown ID	-
CG1750	FBgn0039836	CG1750
CG11340	FBgn0039840	pHCl-2
CG11334,lox	unknown ID	-
CG11550	FBgn0039864	CG11550
salt	FBgn0039872	salt
CG2187	FBgn0017448	CG2187
Gfat1	FBgn0287209	Gfat1
CG41099	FBgn0039955	CG41099
CG40198	FBgn0058198	CG40198
CR43957	FBgn0264617	asRNA:CR43957
pan	FBgn0085432	pan
pan	FBgn0034617	Panx
CR44024	FBgn0264794	lncRNA:CR44024
CR44030	FBgn0264822	asRNA:CR44030
sphinx	FBgn0083990	lncRNA:sphinx
ATPsyn-beta	FBgn0010217	ATPsynbeta
Rfabg	FBgn0087002	apolpp
ci	FBgn0004859	ci
ci	FBal0001644	ci[1]
CG33978	FBgn0053978	CG33978
pho	FBgn0002521	pho
CR40469	FBgn0058469	lncRNA:CR40469
tyn	FBgn0284435	tyn
G9a	FBgn0040372	G9a
CG3176	FBgn0029524	CG3176
tw	FBgn0086368	tw
tw	FBgn0004889	tws
tw	FBal0246009	tw[unspecified]
CG32815,TRAM	unknown ID	-
CG42259,su(w[a])	unknown ID	-
CG14629	FBgn0040398	CG14629
CG11380	FBgn0040359	CG11380
CG11412	FBgn0024362	Naa30A
CG14805	FBgn0023514	CG14805
CG3835,Pgd	unknown ID	-
CG3630	FBgn0023540	CG3630
CG2681	FBgn0024997	CG2681
CG3588	FBgn0025643	CG3588
N	FBgn0004647	N
N	FBgn0001956	l(2)28Bb
N	FBgn0013820	Dl::N
N	FBal0033870	N[Hsp70Bb.PL]
N	FBal0117992	w[hdrvN]
N	FBtp0071154	P{y.N.TARG}
N	FBtp0141413	P{GFP-asp.N}
ec	FBgn0000542	ec
peb	FBgn0003053	peb
peb	FBgn0004181	Ebp
ctp	FBgn0011760	ctp
CG7024,l(1)G0334	unknown ID	-
Proc-R	FBgn0029723	Proc-R
SPR	FBgn0029768	SPR
CG12239	FBgn0029810	CG12239
CG4020	FBgn0029821	CG4020
CG12728	FBgn0029825	CG12728
CG6048	FBgn0029827	CG6048
CG5966	FBgn0029831	CG5966
CG5928	FBgn0029836	CG5928
CG3823	FBgn0029863	CG3823
kdn	FBgn0261955	kdn
kdn	FBal0005683	kdn[PC64]
Spat	FBgn0014031	Agxt
COQ7	FBgn0029502	Coq7
CG4558	FBgn0029914	CG4558
CG11368	FBgn0040923	CG11368
CG1444	FBgn0029975	spidey
GIIIspla2	FBgn0030013	GIIIspla2
Trf2	FBgn0261793	Trf2
Hexo2	FBgn0041629	Hexo2
CG7033	FBgn0030086	CCT2
CG12057	FBgn0030098	CG12057
CG17754	FBgn0030114	CG17754
