# submitted_item	validated_id	current_symbol
CG10433	FBgn0034638	CG10433
CG10625	FBgn0035612	frm
CG11368	FBgn0040923	CG11368
CG11455	FBgn0031228	ND-15
CG12012	FBgn0035444	CG12012
CG12158	FBgn0040775	CG12158
CG12929	FBgn0033429	CG12929
CG13065	FBgn0036590	CG13065
CG13117	FBgn0032140	CG13117
CG13171	FBgn0033701	CG13171
Acp70A	FBgn0003034	SP
Tina-1	FBgn0035083	Tina-1
CG14871	FBgn0038343	Trissin
VhaM9_7-2	unknown ID	-
VhaM9_7-2	unknown ID	-
capricious	FBgn0023095	caps
CG34308	FBgn0085337	CG34308
CG34310	FBgn0085339	CG34310
noncoding_12567	unknown ID	-
noncoding_7598	unknown ID	-
noncoding_4110	FBgn0023388	Dap160
noncoding_1587	unknown ID	-
noncoding_949	unknown ID	-
noncoding_6766	unknown ID	-
noncoding_7185	unknown ID	-
noncoding_13842	unknown ID	-
noncoding_3271	unknown ID	-
noncoding_10408	unknown ID	-
noncoding_5166	unknown ID	-
noncoding_3620	unknown ID	-
noncoding_5362	unknown ID	-
noncoding_4493	unknown ID	-
noncoding_14054	unknown ID	-
noncoding_8782	unknown ID	-
noncoding_3994	unknown ID	-
noncoding_10153	unknown ID	-
noncoding_14842	unknown ID	-
noncoding_3727	unknown ID	-
noncoding_6875	unknown ID	-
noncoding_22131	unknown ID	-
noncoding_869	unknown ID	-
noncoding_17759	unknown ID	-
noncoding_5391	unknown ID	-
noncoding_1106	unknown ID	-
noncoding_1206	unknown ID	-
noncoding_1271	unknown ID	-
noncoding_1327	unknown ID	-
noncoding_1669	unknown ID	-
noncoding_1669	unknown ID	-
noncoding_1968	unknown ID	-
noncoding_229	unknown ID	-
noncoding_2470	unknown ID	-
noncoding_2470	unknown ID	-
noncoding_2788	unknown ID	-
noncoding_2854	unknown ID	-
noncoding_3077	unknown ID	-
noncoding_3470	unknown ID	-
noncoding_3534	unknown ID	-
noncoding_3548	unknown ID	-
noncoding_3585	unknown ID	-
noncoding_3672	unknown ID	-
noncoding_3775	unknown ID	-
noncoding_12207	unknown ID	-
noncoding_3951	unknown ID	-
noncoding_4006	unknown ID	-
noncoding_4006	unknown ID	-
noncoding_4006	unknown ID	-
noncoding_4219	unknown ID	-
noncoding_4261	unknown ID	-
noncoding_427	unknown ID	-
noncoding_4324	unknown ID	-
noncoding_67	unknown ID	-
noncoding_691	unknown ID	-
noncoding_704	unknown ID	-
noncoding_781	unknown ID	-
noncoding_928	unknown ID	-
noncoding_932	unknown ID	-
noncoding_934	unknown ID	-
noncoding_3470	unknown ID	-
noncoding_3620	unknown ID	-
noncoding_14166	unknown ID	-
noncoding_4454	unknown ID	-
noncoding_23539	unknown ID	-
noncoding_6657	unknown ID	-
noncoding_12505	unknown ID	-
noncoding_21234	unknown ID	-
noncoding_13966	unknown ID	-
noncoding_20996	unknown ID	-
noncoding_6408	unknown ID	-
noncoding_13481	unknown ID	-
noncoding_10733	unknown ID	-
noncoding_4380	unknown ID	-
noncoding_4393	unknown ID	-
noncoding_4440	unknown ID	-
noncoding_4618	unknown ID	-
noncoding_4677	unknown ID	-
noncoding_4818	unknown ID	-
noncoding_4936	unknown ID	-
noncoding_4991	unknown ID	-
noncoding_5059	unknown ID	-
noncoding_5600	unknown ID	-
noncoding_5899	unknown ID	-
noncoding_5913	unknown ID	-
noncoding_6552	unknown ID	-
noncoding_6597	unknown ID	-
noncoding_6785	unknown ID	-
noncoding_6972	unknown ID	-
noncoding_6972	unknown ID	-
noncoding_6972	unknown ID	-
noncoding_7217	unknown ID	-
noncoding_7484	unknown ID	-
noncoding_8958	unknown ID	-
noncoding_9077	unknown ID	-
noncoding_9183	unknown ID	-
noncoding_9409	unknown ID	-
noncoding_10027	unknown ID	-
noncoding_10374	unknown ID	-
noncoding_11198	unknown ID	-
noncoding_15050	unknown ID	-
noncoding_21155	unknown ID	-
noncoding_9454	FBgn0261505	CR42653
noncoding_12628	unknown ID	-
noncoding_19262	unknown ID	-
noncoding_12328	unknown ID	-
noncoding_11565	unknown ID	-
noncoding_24686	unknown ID	-
noncoding_14406	unknown ID	-
noncoding_10229	unknown ID	-
noncoding_10359	unknown ID	-
noncoding_10431	unknown ID	-
noncoding_10708	unknown ID	-
noncoding_10769	unknown ID	-
noncoding_10964	unknown ID	-
noncoding_11126	unknown ID	-
noncoding_11257	unknown ID	-
noncoding_11565	unknown ID	-
noncoding_12152	unknown ID	-
noncoding_12277	unknown ID	-
noncoding_13289	unknown ID	-
noncoding_13313	unknown ID	-
noncoding_13405	unknown ID	-
noncoding_13793	unknown ID	-
noncoding_14099	unknown ID	-
noncoding_14166	unknown ID	-
noncoding_14230	unknown ID	-
noncoding_14288	unknown ID	-
noncoding_14303	unknown ID	-
noncoding_14317	unknown ID	-
noncoding_9526	unknown ID	-
noncoding_9693	unknown ID	-
noncoding_14335	unknown ID	-
noncoding_14402	unknown ID	-
noncoding_19807	unknown ID	-
noncoding_20815	unknown ID	-
noncoding_14561	unknown ID	-
noncoding_14562	unknown ID	-
noncoding_14566	unknown ID	-
noncoding_14584	unknown ID	-
noncoding_14644	unknown ID	-
noncoding_14695	unknown ID	-
noncoding_14931	unknown ID	-
noncoding_14993	unknown ID	-
noncoding_14993	unknown ID	-
noncoding_15031	unknown ID	-
noncoding_15099	unknown ID	-
noncoding_15099	unknown ID	-
noncoding_15156	unknown ID	-
noncoding_15272	unknown ID	-
noncoding_15416	unknown ID	-
noncoding_15421	unknown ID	-
noncoding_15501	unknown ID	-
noncoding_15514	unknown ID	-
noncoding_15610	unknown ID	-
noncoding_16091	unknown ID	-
noncoding_16330	unknown ID	-
noncoding_16341	unknown ID	-
noncoding_16647	unknown ID	-
noncoding_16730	unknown ID	-
noncoding_16824	unknown ID	-
noncoding_17085	unknown ID	-
noncoding_17171	unknown ID	-
noncoding_17701	unknown ID	-
noncoding_17716	unknown ID	-
noncoding_17730	unknown ID	-
noncoding_17950	unknown ID	-
noncoding_17964	unknown ID	-
noncoding_18124	FBgn0267448	asRNA:CR45798
noncoding_18306	unknown ID	-
noncoding_18479	unknown ID	-
noncoding_18559	unknown ID	-
noncoding_18961	unknown ID	-
noncoding_19171	unknown ID	-
noncoding_19633	unknown ID	-
noncoding_19706	unknown ID	-
noncoding_19949	unknown ID	-
noncoding_20096	unknown ID	-
noncoding_20201	unknown ID	-
noncoding_20271	unknown ID	-
noncoding_15421	unknown ID	-
noncoding_20453	unknown ID	-
noncoding_20454	unknown ID	-
noncoding_20511	unknown ID	-
noncoding_20788	unknown ID	-
noncoding_20813	unknown ID	-
noncoding_20818	unknown ID	-
noncoding_20846	unknown ID	-
noncoding_20985	unknown ID	-
noncoding_20990	unknown ID	-
noncoding_21023	unknown ID	-
noncoding_21031	unknown ID	-
noncoding_21034	unknown ID	-
noncoding_21042	unknown ID	-
noncoding_21057	unknown ID	-
noncoding_21076	unknown ID	-
noncoding_21080	unknown ID	-
noncoding_21081	unknown ID	-
noncoding_21090	unknown ID	-
noncoding_21138	unknown ID	-
noncoding_21155	unknown ID	-
noncoding_21234	unknown ID	-
noncoding_21360	unknown ID	-
noncoding_21739	unknown ID	-
noncoding_21795	unknown ID	-
noncoding_22240	unknown ID	-
noncoding_22284	unknown ID	-
noncoding_22475	unknown ID	-
noncoding_22687	unknown ID	-
noncoding_22888	unknown ID	-
noncoding_23225	unknown ID	-
noncoding_23260	unknown ID	-
noncoding_23302	unknown ID	-
noncoding_23377	unknown ID	-
noncoding_23729	unknown ID	-
noncoding_24353	unknown ID	-
noncoding_24410	unknown ID	-
noncoding_24742	unknown ID	-
noncoding_24744	unknown ID	-
noncoding_24859	unknown ID	-
noncoding_24875	unknown ID	-
noncoding_24897	unknown ID	-
noncoding_24933	unknown ID	-
noncoding_25029	unknown ID	-
noncoding_25047	unknown ID	-
noncoding_25107	unknown ID	-
noncoding_25221	unknown ID	-
noncoding_5243	unknown ID	-
noncoding_7734	unknown ID	-
noncoding_21282	unknown ID	-
noncoding_24642	unknown ID	-
noncoding_1796	unknown ID	-
noncoding_DMG2-MB6.chr2L.17.058	unknown ID	-
noncoding_DMG2-MB6.chr2L.17.058	unknown ID	-
noncoding_DMG2-MB6.chr2L.17.058	unknown ID	-
noncoding_DMG2-MB6.chr2L.17.058	unknown ID	-
noncoding_DMG2-MB6.chr2L.17.058	unknown ID	-
noncoding_13497	unknown ID	-
noncoding_13497	unknown ID	-
noncoding_14337	unknown ID	-
noncoding_14406	unknown ID	-
noncoding_21279	unknown ID	-
noncoding_13568	unknown ID	-
noncoding_15268	unknown ID	-
noncoding_7347	unknown ID	-
noncoding_5744	FBgn0262791	CG43172
noncoding_13291	unknown ID	-
noncoding_13291	unknown ID	-
noncoding_5956	FBgn0262817	CG43188
noncoding_17732	FBgn0262839	CG43203
noncoding_17732	FBgn0262839	CG43203
noncoding_3992	unknown ID	-
noncoding_13303	unknown ID	-
noncoding_2945	unknown ID	-
noncoding_13509	unknown ID	-
noncoding_24409	unknown ID	-
noncoding_21784	unknown ID	-
noncoding_23203	unknown ID	-
noncoding_11831	unknown ID	-
noncoding_1515	unknown ID	-
noncoding_21811	unknown ID	-
Uhg3	FBgn0259936	Uhg3
pncr016:2R	FBgn0062961	lncRNA:CR33942
chr3L_127329_127689.0	unknown ID	-
CG17567	FBgn0267726	CG46059
CG17567	FBgn0040994	CR17567
CG17567	FBgn0267726	CG46059
CG17567	FBgn0040994	CR17567
CG17567	FBgn0267726	CG46059
CG17567	FBgn0040994	CR17567
alphagamma-element:CR32865	FBgn0052865	lncRNA:alphagamma-element:CR32865
Su(Ste):CR42432	FBgn0259863	Su(Ste):CR42432
Su(Ste):CR42441	FBgn0259872	CR42441
Uhg2	FBgn0063449	Uhg2
Uhg3	FBgn0259936	Uhg3
CR42491	FBgn0259993	lncRNA:CR42491
CR41601	FBgn0085812	lncRNA:CR41601
CG9284	FBgn0046297	lncRNA:CR9284
CG9284	FBgn0046297	lncRNA:CR9284
CR32661	FBgn0030356	lncRNA:CR32661
Su(Ste):CR42438	FBgn0259869	Su(Ste):CR42438
Uhg4	FBgn0083124	Uhg4
pncr008:3L	FBgn0047000	CG33946
chr3R_2645852_2646154.0	unknown ID	-
CG32252	FBgn0052252	asRNA:CR32252
Uhg7	FBgn0083121	Uhg7
7SLRNA	FBgn0261504	7SLRNA:CR42652
7SLRNA	FBgn0000003	7SLRNA:CR32864
pncr002:3R	FBgn0063127	lncRNA:CR33938
RNaseMRP:RNA	FBgn0065098	RNaseMRP:RNA
RNaseP:RNA	FBgn0046696	RNaseP:RNA
snoRNA:Psi28S-291	FBgn0065064	snoRNA:Psi28S-291
snRNA:U1:82Eb	FBgn0004183	snRNA:U1:82Eb
sphinx	FBgn0083990	lncRNA:sphinx
CR40712	FBgn0085768	CR40712
Su(Ste):CR40820	FBgn0085523	Su(Ste):CR40820
Su(Ste):CR41533	FBgn0085673	Su(Ste):CR41533
Su(Ste):CR42407	FBgn0259838	Su(Ste):CR42407
Su(Ste):CR42409	FBgn0259840	Su(Ste):CR42409
Su(Ste):CR42410	FBgn0259841	Su(Ste):CR42410
Su(Ste):CR42411	FBgn0259842	Su(Ste):CR42411
Su(Ste):CR42412	FBgn0259843	Su(Ste):CR42412
Su(Ste):CR42413	FBgn0259844	CR42413
Su(Ste):CR42415	FBgn0259846	Su(Ste):CR42415
Su(Ste):CR42419	FBgn0259850	Su(Ste):CR42419
Su(Ste):CR42420	FBgn0259851	Su(Ste):CR42420
Su(Ste):CR42423	FBgn0259854	CR42423
Su(Ste):CR42426	FBgn0259857	Su(Ste):CR42426
Su(Ste):CR42427	FBgn0259858	Su(Ste):CR42427
Su(Ste):CR42428	FBgn0259859	Su(Ste):CR42428
Su(Ste):CR42429	FBgn0259860	Su(Ste):CR42429
Su(Ste):CR42430	FBgn0259861	Su(Ste):CR42430
Su(Ste):CR42431	FBgn0259862	Su(Ste):CR42431
Su(Ste):CR42433	FBgn0259864	Su(Ste):CR42433
Su(Ste):CR42434	FBgn0259865	CR42434
Su(Ste):CR42440	FBgn0259871	CR42440
Su(Ste):CR42443	FBgn0259874	CR42443
Su(Ste):CR42444	FBgn0259875	Su(Ste):CR42444
chrX_21059012_21059822.0	unknown ID	-
CR32657	FBgn0052657	lncRNA:CR32657
CR32658	FBgn0040859	lncRNA:CR32658
CR32730	FBgn0047092	lncRNA:CR32730
MIP22691	FBcl0740389	MIP22691
pncr004:X	FBgn0047095	CG33939
pncr009:3L	FBgn0062928	hpRNA:CR33940
CG41257	FBgn0085582	lncRNA:CR41257
CG8788	FBgn0028955	CG8788
MIP06502	FBcl0701939	MIP06502
bxd	FBgn0024275	UbxPRE
bxd	FBgn0003944	Ubx
bxd	FBgn0020556	lncRNA:bxd
bxd	FBal0017532	Ubx[bxd-1]
chr2L_13642820_13643256.0	unknown ID	-
chr2L_5904935_5906245.0	unknown ID	-
chr3L_18233591_18234137.0	unknown ID	-
chr3R_1549831_1550766.0	unknown ID	-
chr3R_15122979_15123457.0	unknown ID	-
